@2018-10-14 Sunday 02:11:28 [logger.py -- write]68 : INFO - epoch: 1, lr: 0.000100, eval_train: 0.306210, eval_validate: 0.465476, train_avg_loss: 2.644188, validate_avg_loss: 1.954410, gpu_index: 3, net: resnet50, save: /home1/sas/results_model/pytorch/model.pth
@2018-10-14 Sunday 02:16:43 [logger.py -- write]68 : INFO - epoch: 2, lr: 0.000100, eval_train: 0.454565, eval_validate: 0.520072, train_avg_loss: 1.903808, validate_avg_loss: 1.607679, gpu_index: 3, net: resnet50, save: /home1/sas/results_model/pytorch/model.pth
@2018-10-14 Sunday 02:21:59 [logger.py -- write]68 : INFO - epoch: 3, lr: 0.000100, eval_train: 0.524390, eval_validate: 0.606985, train_avg_loss: 1.567294, validate_avg_loss: 1.176719, gpu_index: 3, net: resnet50, save: /home1/sas/results_model/pytorch/model.pth
@2018-10-14 Sunday 02:27:19 [logger.py -- write]68 : INFO - epoch: 4, lr: 0.000100, eval_train: 0.579798, eval_validate: 0.672220, train_avg_loss: 1.328595, validate_avg_loss: 0.896793, gpu_index: 3, net: resnet50, save: /home1/sas/results_model/pytorch/model.pth
@2018-10-14 Sunday 02:32:35 [logger.py -- write]68 : INFO - epoch: 5, lr: 0.000100, eval_train: 0.615046, eval_validate: 0.689884, train_avg_loss: 1.177520, validate_avg_loss: 0.883794, gpu_index: 3, net: resnet50, save: /home1/sas/results_model/pytorch/model.pth
@2018-10-14 Sunday 02:37:52 [logger.py -- write]68 : INFO - epoch: 6, lr: 0.000100, eval_train: 0.643178, eval_validate: 0.709153, train_avg_loss: 1.050707, validate_avg_loss: 0.777814, gpu_index: 3, net: resnet50, save: /home1/sas/results_model/pytorch/model.pth
@2018-10-14 Sunday 02:43:11 [logger.py -- write]68 : INFO - epoch: 7, lr: 0.000100, eval_train: 0.672134, eval_validate: 0.679647, train_avg_loss: 0.961494, validate_avg_loss: 0.894544, gpu_index: 3, net: resnet50, save: /home1/sas/results_model/pytorch/model.pth
@2018-10-14 Sunday 02:48:30 [logger.py -- write]68 : INFO - epoch: 8, lr: 0.000100, eval_train: 0.684749, eval_validate: 0.742272, train_avg_loss: 0.888965, validate_avg_loss: 0.681214, gpu_index: 3, net: resnet50, save: /home1/sas/results_model/pytorch/model.pth
@2018-10-14 Sunday 02:53:48 [logger.py -- write]68 : INFO - epoch: 9, lr: 0.000100, eval_train: 0.701243, eval_validate: 0.723806, train_avg_loss: 0.831968, validate_avg_loss: 0.728005, gpu_index: 3, net: resnet50, save: /home1/sas/results_model/pytorch/model.pth
@2018-10-14 Sunday 02:59:07 [logger.py -- write]68 : INFO - epoch: 10, lr: 0.000100, eval_train: 0.713522, eval_validate: 0.720393, train_avg_loss: 0.791589, validate_avg_loss: 0.744517, gpu_index: 3, net: resnet50, save: /home1/sas/results_model/pytorch/model.pth
@2018-10-14 Sunday 03:04:30 [logger.py -- write]68 : INFO - epoch: 11, lr: 0.000100, eval_train: 0.725373, eval_validate: 0.719791, train_avg_loss: 0.751748, validate_avg_loss: 0.697391, gpu_index: 3, net: resnet50, save: /home1/sas/results_model/pytorch/model.pth
